Quantity,Value,Note
Accepted asteroid-source associations,"56,230",Accepted source-ephemeris matches
Distinct known asteroids,"16,053",Unique minor-planet identifiers
Exposure catalogs with accepted associations,"13,253",Per-exposure products
UTC nights represented,73,Recovered sample date coverage
Field groups represented,588,Grouped by pointing metadata
NEO-class objects,77,Identified from small-body metadata
PHA-class objects,19,Identified from small-body metadata
Median ephemeris magnitude,18.2215,Predicted brightness
Median $g_{\rm aper}$,18.1110,Adopted aperture magnitude
Median $\sigma(g_{\rm aper})$,0.1239 mag,Adopted aperture uncertainty
Median aperture S/N proxy,8.7621,Flux/error in adopted aperture
Median observed-minus-predicted separation,0.220 arcsec,Accepted associations
84th-percentile observed-minus-predicted separation,0.484 arcsec,Accepted associations
2D residual RMS,0.355 arcsec,sqrt(mean(sep$^2$))
RMS in $\Delta\alpha\cos\delta$,0.250 arcsec,Coordinate residual
RMS in $\Delta\delta$,0.252 arcsec,Coordinate residual
Median angular rate,29.276 arcsec hr$^{-1}$,Derived from augmented geometry
Median phase angle,13.245 deg,Derived from augmented geometry
Associations without geometry augmentation,107,Excluded from geometry statistics
